HSK1_011	爱	love, like, be fond of, be keen on, cherish, be apt to
HSK1_011	时间	moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy
HSK1_011	年	year
HSK1_011	请	request, ask (a favor), engage, hire (teacher/etc.), Please...
HSK1_011	回	return, go back
HSK1_011	工作	work, job
HSK1_011	见	see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet
HSK1_011	钱	copper coin, cash, money, fund, sum
HSK1_011	一样	same, equal, similar
HSK1_011	吃	feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up
HSK1_012	开	open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal
HSK1_012	家	family, household, home, house
HSK1_012	非常	extraordinary, unusual, special, very, extremely, highly
HSK1_012	看到	view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of
HSK1_012	那些	det.: those
HSK1_012	哪	det.: which
HSK1_012	行	go, travel, prevail, circulate, be current
HSK1_012	朋友	amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company
HSK1_012	妈妈	mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma
HSK1_012	前	front
HSK1_013	这儿	now, here
HSK1_013	今天	today, at the present, now
HSK1_013	明白	clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization
HSK1_013	车	vehicle
HSK1_013	地方	country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local
HSK1_013	几	det.: how many, a few, several, some
HSK1_013	回来	come back, get_back, recur, revisit, come, return, be back, come_back
HSK1_013	准备	prepare, get ready
HSK1_013	找到	light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon
HSK1_013	后	rear, back, behind
HSK1_014	爸爸	old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa
HSK1_014	比	compared with
HSK1_014	出来	come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge
HSK1_014	对不起	be unfair to, I'm sorry, let ... down, let sb. down, excuse me
